sentence_id,text,label,split,source_dataset,source_config,locale,partition,scenario
massive-train-167,what's happening in cambridge,22,train,massive,en-US,en-US,train,4
massive-train-168,show me some news from b. b. c.,22,train,massive,en-US,en-US,train,4
massive-train-169,olly show me some news from b. b. c.,22,train,massive,en-US,en-US,train,4
massive-train-170,play c. n. n. news,22,train,massive,en-US,en-US,train,4
massive-train-171,olly hackernews,22,train,massive,en-US,en-US,train,4
massive-train-172,play me some hihop,45,train,massive,en-US,en-US,train,3
massive-train-173,death metal now,45,train,massive,en-US,en-US,train,3
massive-train-174,olly what music do i usually like after work,57,train,massive,en-US,en-US,train,15
massive-train-175,olly play music from my favorite pianist,45,train,massive,en-US,en-US,train,3
massive-train-176,you're too loud,35,train,massive,en-US,en-US,train,10
massive-train-177,i can barely hear you olly,14,train,massive,en-US,en-US,train,10
massive-train-178,turn the lights blue,1,train,massive,en-US,en-US,train,8
massive-train-179,make the lights shine blue,1,train,massive,en-US,en-US,train,8
massive-train-180,olly good night lights off,40,train,massive,en-US,en-US,train,8
massive-train-181,it's awfully dark here,41,train,massive,en-US,en-US,train,8
massive-train-182,make the lights brighter,18,train,massive,en-US,en-US,train,8
massive-train-183,olly it's too dark i can't even see my hands,41,train,massive,en-US,en-US,train,8
massive-train-184,what's the time,0,train,massive,en-US,en-US,train,5
massive-train-185,what is the song,57,train,massive,en-US,en-US,train,15
massive-train-186,olly what is the song,57,train,massive,en-US,en-US,train,15
massive-train-187,what the singer meant by the title of the song bohemian rhapsody,57,train,massive,en-US,en-US,train,15
massive-train-188,who covered the song one more cup of coffee,57,train,massive,en-US,en-US,train,15
massive-train-189,what is the weather in paris,13,train,massive,en-US,en-US,train,17
massive-train-190,what is the weather like in toronto,13,train,massive,en-US,en-US,train,17
massive-train-191,what is the current state of brexit negotiations,22,train,massive,en-US,en-US,train,4
massive-train-192,who is going to win the next elections in the france,22,train,massive,en-US,en-US,train,4
massive-train-193,do you expect sun on sunday,13,train,massive,en-US,en-US,train,17
massive-train-194,is it going to rain in the evening,13,train,massive,en-US,en-US,train,17
massive-train-195,is it going to be windy tomorrow,13,train,massive,en-US,en-US,train,17
massive-train-196,brighten the lamp next to the sofa,18,train,massive,en-US,en-US,train,8
massive-train-197,lighten the light,18,train,massive,en-US,en-US,train,8
massive-train-198,what time is it in moscow now,0,train,massive,en-US,en-US,train,5
massive-train-199,vacuum the kitchen,34,train,massive,en-US,en-US,train,8
massive-train-200,what is happening in the world,22,train,massive,en-US,en-US,train,4
massive-train-201,tell me the news,22,train,massive,en-US,en-US,train,4
massive-train-202,what is the forecast for today,13,train,massive,en-US,en-US,train,17
massive-train-203,what is the weather like,13,train,massive,en-US,en-US,train,17
massive-train-204,hey what are you up to,12,train,massive,en-US,en-US,train,9
massive-train-205,how are you doing,5,train,massive,en-US,en-US,train,9
massive-train-206,morning what's up,5,train,massive,en-US,en-US,train,9
massive-train-207,order a pizza from pizza express,16,train,massive,en-US,en-US,train,14
massive-train-208,i would like to have a sushi can you order me a lunch,16,train,massive,en-US,en-US,train,14
massive-train-209,alexa i would like to have a sushi can you order me a lunch,16,train,massive,en-US,en-US,train,14
massive-train-210,order a takeaway sandwich and soup from the italian's,16,train,massive,en-US,en-US,train,14
massive-train-211,how many days are left in this year,0,train,massive,en-US,en-US,train,5
massive-train-212,increase brightness by twenty percent,18,train,massive,en-US,en-US,train,8
massive-train-213,set lights to full power,18,train,massive,en-US,en-US,train,8
massive-train-214,mute,46,train,massive,en-US,en-US,train,10
massive-train-215,shall i get an umbrella tomorrow,13,train,massive,en-US,en-US,train,17
massive-train-216,turn on the smart charger,24,train,massive,en-US,en-US,train,8
massive-train-217,tell me the news in technology from engadget,22,train,massive,en-US,en-US,train,4
massive-train-218,happy,13,train,massive,en-US,en-US,train,17
massive-train-219,evening,13,train,massive,en-US,en-US,train,17
massive-train-220,sunday,13,train,massive,en-US,en-US,train,17
massive-train-221,quieter,35,train,massive,en-US,en-US,train,10
massive-train-222,silent,46,train,massive,en-US,en-US,train,10
massive-train-223,i wish to know the weather in s. f.,13,train,massive,en-US,en-US,train,17
massive-train-224,is it snowing in california,13,train,massive,en-US,en-US,train,17
massive-train-225,yo i need a coffee now,56,train,massive,en-US,en-US,train,8
massive-train-226,i helped a poor needy today olly,56,train,massive,en-US,en-US,train,8
massive-train-227,start the coffee machine,56,train,massive,en-US,en-US,train,8
massive-train-228,get a cup of coffee ready now,56,train,massive,en-US,en-US,train,8
massive-train-229,how will be the weather tomorrow,13,train,massive,en-US,en-US,train,17
massive-train-230,what is tomorrow's weather predictions,13,train,massive,en-US,en-US,train,17
massive-train-231,will there be snow tomorrow,13,train,massive,en-US,en-US,train,17
massive-train-232,find out if the restaurant does takeaway orders,3,train,massive,en-US,en-US,train,14
massive-train-233,search if the restaurant does take out,3,train,massive,en-US,en-US,train,14
massive-train-234,is there a take-out menu at the restaurant,3,train,massive,en-US,en-US,train,14
massive-train-235,twenty ninth march comes on what day,0,train,massive,en-US,en-US,train,5
massive-train-236,what's my next alarm,23,train,massive,en-US,en-US,train,16
massive-train-237,please tell me my alarms,23,train,massive,en-US,en-US,train,16
massive-train-238,what time will my alarm go off today,23,train,massive,en-US,en-US,train,16
massive-train-239,can you tell me the time,0,train,massive,en-US,en-US,train,5
massive-train-240,play the track eight from google play music,45,train,massive,en-US,en-US,train,3
massive-train-241,play a song randomly from my playlist,45,train,massive,en-US,en-US,train,3
massive-train-242,what is the current date,0,train,massive,en-US,en-US,train,5
massive-train-243,what's going on in the news,22,train,massive,en-US,en-US,train,4
massive-train-244,i want the light switched off can you do it for me,40,train,massive,en-US,en-US,train,8
massive-train-245,tell me if the following is true about the weather,13,train,massive,en-US,en-US,train,17
massive-train-246,check the weather app to see if,13,train,massive,en-US,en-US,train,17
massive-train-247,can save this music in my playlist,43,train,massive,en-US,en-US,train,15
massive-train-248,how about you save this music,43,train,massive,en-US,en-US,train,15
massive-train-249,please play games by disturbed,45,train,massive,en-US,en-US,train,3
massive-train-250,please open my music application and play games by disturbed,45,train,massive,en-US,en-US,train,3
massive-train-251,please play the song games by disturbed,45,train,massive,en-US,en-US,train,3
massive-train-252,turn off the garage light,40,train,massive,en-US,en-US,train,8
massive-train-253,check for hot news in times of india,22,train,massive,en-US,en-US,train,4
massive-train-254,any death news in times of india,22,train,massive,en-US,en-US,train,4
massive-train-255,switch the smart plug socket,24,train,massive,en-US,en-US,train,8
massive-train-256,if it is noon in virginia what time is it in california,38,train,massive,en-US,en-US,train,5
massive-train-257,what is the time difference between eastern time and pacific time,38,train,massive,en-US,en-US,train,5
massive-train-258,play why do you sing by kirk franklin,45,train,massive,en-US,en-US,train,3
massive-train-259,will it be warm tomorrow,13,train,massive,en-US,en-US,train,17
massive-train-260,music please,45,train,massive,en-US,en-US,train,3
massive-train-261,can you change the light colors in the house,1,train,massive,en-US,en-US,train,8
massive-train-262,can you shuffle the light colors in the house,1,train,massive,en-US,en-US,train,8
massive-train-263,can you change the light colors into dark in the house,1,train,massive,en-US,en-US,train,8
massive-train-264,what alarms do i have set,23,train,massive,en-US,en-US,train,16
massive-train-265,read me my alarms,23,train,massive,en-US,en-US,train,16
massive-train-266,what time are my alarms set for,23,train,massive,en-US,en-US,train,16
massive-train-267,change my room lights to blue,1,train,massive,en-US,en-US,train,8
massive-train-268,change my room lights to some romantic color,1,train,massive,en-US,en-US,train,8
massive-train-269,set an alarm for me at eight am,48,train,massive,en-US,en-US,train,16
massive-train-270,make an alarm for four p. m.,48,train,massive,en-US,en-US,train,16
massive-train-271,make me a wake up alarm for eight forty five am,48,train,massive,en-US,en-US,train,16
massive-train-272,what are the latest news,22,train,massive,en-US,en-US,train,4
massive-train-273,what are the heartthrob news,22,train,massive,en-US,en-US,train,4
massive-train-274,lights off bathroom,40,train,massive,en-US,en-US,train,8
massive-train-275,what is the weather right now outside,13,train,massive,en-US,en-US,train,17
massive-train-276,how warm is it right now outside,13,train,massive,en-US,en-US,train,17
massive-train-277,what day of the month is next tuesday,0,train,massive,en-US,en-US,train,5
massive-train-278,play bad religion folder,45,train,massive,en-US,en-US,train,3
massive-train-279,is it going to rain today,13,train,massive,en-US,en-US,train,17
massive-train-280,read me new headlines,22,train,massive,en-US,en-US,train,4
massive-train-281,repeat album,28,train,massive,en-US,en-US,train,15
massive-train-282,play metallica,45,train,massive,en-US,en-US,train,3
massive-train-283,play old-fashioned christmas music,45,train,massive,en-US,en-US,train,3
massive-train-284,make coffee,56,train,massive,en-US,en-US,train,8
massive-train-285,make coffee olly,56,train,massive,en-US,en-US,train,8
massive-train-286,who is currently leading in the parliamentary election,22,train,massive,en-US,en-US,train,4
massive-train-287,what is today's date,0,train,massive,en-US,en-US,train,5
massive-train-288,change the lights in the kitchen to blue,1,train,massive,en-US,en-US,train,8
massive-train-289,fix the lights in the living room to red,1,train,massive,en-US,en-US,train,8
massive-train-290,can you speak a little louder,14,train,massive,en-US,en-US,train,10
massive-train-291,i am unable to hear you can you speak little loud,14,train,massive,en-US,en-US,train,10
massive-train-292,please speak loud,14,train,massive,en-US,en-US,train,10
massive-train-293,i want to listen classical music,45,train,massive,en-US,en-US,train,3
massive-train-294,i want to listen jazz,45,train,massive,en-US,en-US,train,3
massive-train-295,what day is it,0,train,massive,en-US,en-US,train,5
massive-train-296,tell me the date and the time,0,train,massive,en-US,en-US,train,5
massive-train-297,siri what's the date,0,train,massive,en-US,en-US,train,5
massive-train-298,brighten my bedroom light,18,train,massive,en-US,en-US,train,8
massive-train-299,turn off light,40,train,massive,en-US,en-US,train,8
massive-train-300,turn off lamp,40,train,massive,en-US,en-US,train,8
massive-train-301,lights out,41,train,massive,en-US,en-US,train,8
massive-train-302,play songs by sia,45,train,massive,en-US,en-US,train,3
massive-train-303,open songs by prince,45,train,massive,en-US,en-US,train,3
massive-train-304,find news about brexit,22,train,massive,en-US,en-US,train,4
massive-train-305,open news about b. p. oil,22,train,massive,en-US,en-US,train,4
massive-train-306,find me news about trumps speech,22,train,massive,en-US,en-US,train,4
massive-train-307,what time is it in the other time zones,0,train,massive,en-US,en-US,train,5
massive-train-308,what time zone is arizona,0,train,massive,en-US,en-US,train,5
massive-train-309,what is the name of song,57,train,massive,en-US,en-US,train,15
massive-train-310,what is the length of song,57,train,massive,en-US,en-US,train,15
massive-train-311,what is the time in india right now,0,train,massive,en-US,en-US,train,5
massive-train-312,what time is it right now in australia,0,train,massive,en-US,en-US,train,5
massive-train-313,what is the temperature outside,13,train,massive,en-US,en-US,train,17
massive-train-314,what's a silly joke you know,25,train,massive,en-US,en-US,train,9
massive-train-315,what's a silly joke you know,25,train,massive,en-US,en-US,train,9
massive-train-316,change the light color to blue,1,train,massive,en-US,en-US,train,8
massive-train-317,confirm whether the color is blue,1,train,massive,en-US,en-US,train,8
massive-train-318,change the light color to red,1,train,massive,en-US,en-US,train,8
massive-train-319,what time is it in des moines,0,train,massive,en-US,en-US,train,5
massive-train-320,what's the time in denver,0,train,massive,en-US,en-US,train,5
massive-train-321,silence please,46,train,massive,en-US,en-US,train,10
massive-train-322,speakers off,46,train,massive,en-US,en-US,train,10
massive-train-323,quiet please,46,train,massive,en-US,en-US,train,10
massive-train-324,confirm the alarm time,23,train,massive,en-US,en-US,train,16
massive-train-325,which alarms do i have,23,train,massive,en-US,en-US,train,16
massive-train-326,by our scores,13,train,massive,en-US,en-US,train,17
massive-train-327,can you mute when i am not home,46,train,massive,en-US,en-US,train,10
massive-train-328,play my most played songs,45,train,massive,en-US,en-US,train,3
massive-train-329,what's the time,0,train,massive,en-US,en-US,train,5
massive-train-330,what time is it right now,0,train,massive,en-US,en-US,train,5
massive-train-331,give me the time,0,train,massive,en-US,en-US,train,5
massive-train-332,its not possible,13,train,massive,en-US,en-US,train,17
massive-train-333,how much time it will take to prepare the order,3,train,massive,en-US,en-US,train,14
massive-train-334,tell me random joke,25,train,massive,en-US,en-US,train,9
massive-train-335,what's your favorite joke,25,train,massive,en-US,en-US,train,9
massive-train-336,by switch off,40,train,massive,en-US,en-US,train,8
massive-train-337,by remote sensor,40,train,massive,en-US,en-US,train,8
massive-train-338,what are the latest world news,22,train,massive,en-US,en-US,train,4
massive-train-339,i need a reminder alarm at one,48,train,massive,en-US,en-US,train,16
massive-train-340,turn on an alarm for nine am,48,train,massive,en-US,en-US,train,16
massive-train-341,search the album name with katy perry,57,train,massive,en-US,en-US,train,15
massive-train-342,its peaceful,43,train,massive,en-US,en-US,train,15
massive-train-343,what's the funniest joke,25,train,massive,en-US,en-US,train,9
massive-train-344,tell me a dirty joke,25,train,massive,en-US,en-US,train,9
massive-train-345,play the playlist,45,train,massive,en-US,en-US,train,3
massive-train-346,hey olly play the playlist,45,train,massive,en-US,en-US,train,3
massive-train-347,please increase the volume of the music hips don't lie,14,train,massive,en-US,en-US,train,10
massive-train-348,please lower the shuffle rate of hips don't lie,28,train,massive,en-US,en-US,train,15
massive-train-349,please repeat that music again of akon,28,train,massive,en-US,en-US,train,15
massive-train-350,what song is playing,57,train,massive,en-US,en-US,train,15
massive-train-351,who is singing this song,57,train,massive,en-US,en-US,train,15
massive-train-352,turn the lights off in the living room,40,train,massive,en-US,en-US,train,8
massive-train-353,please set the lights off in the living room,40,train,massive,en-US,en-US,train,8
massive-train-354,can i get some background music,45,train,massive,en-US,en-US,train,3
massive-train-355,how many alarms are listed,23,train,massive,en-US,en-US,train,16
massive-train-356,do i have any alarms set for tomorrow,23,train,massive,en-US,en-US,train,16
massive-train-357,what's the alarm situation for tomorrow,23,train,massive,en-US,en-US,train,16
massive-train-358,cancel my eight am alarm,52,train,massive,en-US,en-US,train,16
massive-train-359,light color change,1,train,massive,en-US,en-US,train,8
massive-train-360,change color of lights,1,train,massive,en-US,en-US,train,8
massive-train-361,what's the temperature,13,train,massive,en-US,en-US,train,17
massive-train-362,how warm is it,13,train,massive,en-US,en-US,train,17
massive-train-363,how cold is it,13,train,massive,en-US,en-US,train,17
massive-train-364,how many birthday's are on twenty third,0,train,massive,en-US,en-US,train,5
massive-train-365,is it second saturday on twelfth,0,train,massive,en-US,en-US,train,5
massive-train-366,is there christmas on twenty second,0,train,massive,en-US,en-US,train,5
massive-train-367,what is the date,0,train,massive,en-US,en-US,train,5
massive-train-368,increase volume,14,train,massive,en-US,en-US,train,10
massive-train-369,repeat same song for ten times,28,train,massive,en-US,en-US,train,15
massive-train-370,play only particular singer songs,28,train,massive,en-US,en-US,train,15
massive-train-371,play one through ten on list,45,train,massive,en-US,en-US,train,3
massive-train-372,please play artist first in queue,45,train,massive,en-US,en-US,train,3
massive-train-373,turn off one light on porch,40,train,massive,en-US,en-US,train,8
massive-train-374,please turn off the light,40,train,massive,en-US,en-US,train,8
massive-train-375,turn the lamp off,40,train,massive,en-US,en-US,train,8
massive-train-376,will there be sunset at five thirty p. m. tomorrow,13,train,massive,en-US,en-US,train,17
massive-train-377,is there any chances of rain this week,13,train,massive,en-US,en-US,train,17
massive-train-378,how latest news,22,train,massive,en-US,en-US,train,4
massive-train-379,what is trending,22,train,massive,en-US,en-US,train,4
massive-train-380,what is the time in the eastern time zone,0,train,massive,en-US,en-US,train,5
massive-train-381,how warm is it now,13,train,massive,en-US,en-US,train,17
massive-train-382,please turn on the music i want to hear my favorites songs,45,train,massive,en-US,en-US,train,3
massive-train-383,can i hear the fifty hits that you can hear on radios now,45,train,massive,en-US,en-US,train,3
massive-train-384,please turn on classic music for the dinner now,45,train,massive,en-US,en-US,train,3
massive-train-385,can you turn on the hit song of lady gaga,45,train,massive,en-US,en-US,train,3
massive-train-386,i want to hear my favorite song from iron maiden,45,train,massive,en-US,en-US,train,3
massive-train-387,turn up sound,14,train,massive,en-US,en-US,train,10
massive-train-388,turn down volume,35,train,massive,en-US,en-US,train,10
massive-train-389,volume louder please,14,train,massive,en-US,en-US,train,10
massive-train-390,set alarm to begin,48,train,massive,en-US,en-US,train,16
massive-train-391,change alarm to start at midnight,48,train,massive,en-US,en-US,train,16
massive-train-392,what will the weather be like a week from now,13,train,massive,en-US,en-US,train,17
